number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,577,test,1400,10,1,17:04:49,2021-12-22 17:04:49.218686,0,0:0
2,578,signin ,1400,10,1,17:04:49,2021-12-22 17:04:49.612960,0,0:0
3,579,signout,1400,10,1,22:30:47,2021-12-22 22:30:47.302184,325,5:25
4,580,signin ,1400,10,2,14:06:06,2021-12-23 14:06:06.285838,325,5:25
5,581,signout,1400,10,2,22:44:52,2021-12-23 22:44:52.488430,843,14:3
6,582,signin ,1400,10,3,10:13:08,2021-12-24 10:13:08.055108,843,14:3
7,583,signout,1400,10,3,22:22:59,2021-12-24 22:22:59.292595,1572,26:12
8,584,signin ,1400,10,4,17:05:41,2021-12-25 17:05:41.000418,1572,26:12
9,585,signout,1400,10,4,22:30:41,2021-12-25 22:30:41.000418,1900,31:40
10,586,signin ,1400,10,5,18:06:16,2021-12-26 18:06:16.108906,1900,31:40
11,587,signout,1400,10,5,22:50:44,2021-12-26 22:50:44.341478,2184,36:24
12,588,signin ,1400,10,6,17:05:02,2021-12-27 17:05:02.943047,2184,36:24
13,589,signout,1400,10,6,22:29:07,2021-12-27 22:29:07.461674,2508,41:48
14,590,signin ,1400,10,7,18:02:26,2021-12-28 18:02:26.956360,2508,41:48
15,591,signout,1400,10,7,22:32:23,2021-12-28 22:32:23.523858,2777,46:17
16,592,signin ,1400,10,8,17:15:37,2021-12-29 17:15:37.109258,2777,46:17
17,593,signout,1400,10,8,22:31:07,2021-12-29 22:31:07.458186,3092,51:32
18,594,signin ,1400,10,9,14:09:52,2021-12-30 14:09:52.453175,3092,51:32
19,595,signout,1400,10,9,22:40:28,2021-12-30 22:40:28.079967,3602,60:2
20,596,signin ,1400,10,10,11:34:19,2021-12-31 11:34:19.981753,3602,60:2
21,597,signout,1400,10,10,22:31:08,2021-12-31 22:31:08.916368,4258,70:58
22,598,signin ,1400,10,11,16:59:21,2022-01-01 16:59:21.342981,4258,70:58
23,599,signout,1400,10,11,22:37:01,2022-01-01 22:37:01.635773,4595,76:35
24,600,signin ,1400,10,12,19:37:38,2022-01-02 19:37:38.739744,4595,76:35
25,601,signout,1400,10,12,22:30:49,2022-01-02 22:30:49.478606,4768,79:28
26,602,signin ,1400,10,13,17:06:43,2022-01-03 17:06:43.398906,4768,79:28
27,603,signout,1400,10,13,22:32:15,2022-01-03 22:32:15.103300,5093,84:53
28,604,signin ,1400,10,14,19:02:32,2022-01-04 19:02:32.670743,5093,84:53
29,606,signout,1400,10,14,22:32:32,2022-01-04 22:32:32.670743,5303,88:23
30,607,signin ,1400,10,15,17:03:18,2022-01-05 17:03:18.825074,5303,88:23
31,608,signout,1400,10,15,22:33:18,2022-01-05 22:33:18.825074,5633,93:53
32,609,signin ,1400,10,16,12:58:16,2022-01-06 12:58:16.011220,5633,93:53
33,610,signout,1400,10,16,22:30:29,2022-01-06 22:30:29.500738,6205,103:25
34,611,signin ,1400,10,17,09:26:49,2022-01-07 09:26:49.309972,6205,103:25
35,612,signin ,1400,10,18,17:16:46,2022-01-08 17:16:46.440723,6205,103:25
36,613,signout,1400,10,18,22:33:19,2022-01-08 22:33:19.611556,6521,108:41
37,614,signin ,1400,10,19,17:21:13,2022-01-09 17:21:13.235698,6521,108:41
38,615,signout,1400,10,19,22:30:48,2022-01-09 22:30:48.624745,6830,113:50
39,616,signin ,1400,10,20,17:11:05,2022-01-10 17:11:05.410111,6830,113:50
40,617,signout,1400,10,20,22:31:41,2022-01-10 22:31:41.148247,7150,119:10
41,618,signin ,1400,10,21,19:08:28,2022-01-11 19:08:28.456143,7150,119:10
42,619,signout,1400,10,21,22:32:20,2022-01-11 22:32:20.656602,7353,122:33
43,620,signin ,1400,10,22,17:19:29,2022-01-12 17:19:29.675750,7353,122:33
44,621,signout,1400,10,22,22:31:41,2022-01-12 22:31:41.093513,7665,127:45
45,622,signin ,1400,10,23,14:12:09,2022-01-13 14:12:09.486013,7665,127:45
46,623,signout,1400,10,23,22:31:45,2022-01-13 22:31:45.421351,8164,136:4
47,624,signin ,1400,10,24,11:08:54,2022-01-14 11:08:54.966934,8164,136:4
48,625,signout,1400,10,24,22:14:50,2022-01-14 22:14:50.523370,8829,147:9
49,626,signin ,1400,10,25,17:03:28,2022-01-15 17:03:28.464635,8829,147:9
50,627,signout,1400,10,25,22:32:10,2022-01-15 22:32:10.980104,9157,152:37
51,628,signin ,1400,10,29,17:07:26,2022-01-19 17:07:26.595177,9157,152:37
52,629,signout,1400,10,29,22:33:58,2022-01-19 22:33:58.181851,9483,158:3
53,630,signin ,1400,10,30,14:17:53,2022-01-20 14:17:53.229143,9483,158:3
54,631,signout,1400,10,30,22:39:21,2022-01-20 22:39:21.196264,9984,166:24
