number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,1,test,1400,2,2,14:03:42,2021-04-22 14:03:42.042847,0,0.00
2,2,signin ,1400,2,2,14:03:43,2021-04-22 14:03:43.311114,0,0.00
3,3,signout,1400,2,2,23:01:23,2021-04-22 23:01:23.436189,537,8.95
4,4,signin ,1400,2,3,09:47:10,2021-04-23 09:47:10.262433,537,8.95
5,5,signout,1400,2,3,22:43:04,2021-04-23 22:43:04.204603,1312,21.87
6,6,signin ,1400,2,4,17:31:07,2021-04-24 17:31:07.364273,1312,21.87
7,7,signout,1400,2,4,22:58:52,2021-04-24 22:58:52.211568,1639,27.32
8,8,signin ,1400,2,5,17:07:10,2021-04-25 17:07:10.326953,1639,27.32
9,9,signout,1400,2,5,22:55:19,2021-04-25 22:55:19.660554,1987,33.12
10,10,signin ,1400,2,6,17:13:39,2021-04-26 17:13:39.044039,1987,33.12
11,11,signout,1400,2,6,22:52:34,2021-04-26 22:52:34.221422,2325,38.75
12,12,signin ,1400,2,7,17:17:18,2021-04-27 17:17:18.233632,2325,38.75
13,13,signout,1400,2,7,22:57:07,2021-04-27 22:57:07.459315,2664,44.40
14,14,signin ,1400,2,8,17:15:19,2021-04-28 17:15:19.108820,2664,44.40
15,15,signout,1400,2,8,22:53:18,2021-04-28 22:53:18.097629,3001,50.02
16,16,signin ,1400,2,9,14:02:49,2021-04-29 14:02:49.743513,3001,50.02
17,17,signout,1400,2,9,22:44:51,2021-04-29 22:44:51.915195,3523,58.72
18,18,signin ,1400,2,10,09:29:20,2021-04-30 10:21:20.158960,3523,58.72
19,19,signout,1400,2,10,22:55:39,2021-04-30 22:55:39.412645,4329,72.15
20,20,signin ,1400,2,11,17:18:47,2021-05-01 17:18:47.412890,4329,72.15
21,21,signout,1400,2,11,22:47:54,2021-05-01 22:47:54.234951,4658,77.63
22,22,signin ,1400,2,12,17:13:50,2021-05-02 17:13:50.080613,4658,77.63
23,23,signout,1400,2,12,22:54:55,2021-05-02 22:54:55.702088,4999,83.32
24,24,signin ,1400,2,13,17:34:42,2021-05-03 17:34:42.422406,4999,83.32
25,25,signout,1400,2,13,22:55:03,2021-05-03 22:55:03.693926,5319,88.65
26,26,signin ,1400,2,14,11:28:35,2021-05-04 11:28:35.330246,5319,88.65
27,27,signout,1400,2,14,23:03:10,2021-05-04 23:03:10.181471,6013,100.22
28,28,signin ,1400,2,15,17:14:09,2021-05-05 17:14:09.621691,6013,100.22
29,29,signout,1400,2,15,22:58:59,2021-05-05 22:58:59.211026,6357,105.95
30,30,signin ,1400,2,16,14:02:09,2021-05-06 14:02:09.721153,6357,105.95
31,31,signout,1400,2,16,23:01:25,2021-05-06 23:01:25.866027,6896,114.93
32,32,signin ,1400,2,17,09:47:37,2021-05-07 09:47:37.222673,6896,114.93
33,33,signout,1400,2,17,22:54:41,2021-05-07 22:54:41.311728,7683,128.05
34,34,signin ,1400,2,18,17:54:03,2021-05-08 17:54:03.328492,7683,128.05
35,35,signout,1400,2,18,22:55:10,2021-05-08 22:55:10.827153,7984,133.07
36,36,signin ,1400,2,19,17:14:23,2021-05-09 17:14:23.190863,7984,133.07
37,37,signout,1400,2,19,22:52:39,2021-05-09 22:52:39.031192,8322,138.70
38,38,signin ,1400,2,20,17:15:23,2021-05-10 17:15:23.707557,8322,138.70
39,39,signout,1400,2,20,23:04:37,2021-05-10 23:04:37.198090,8671,144.52
40,40,signin ,1400,2,21,17:15:12,2021-05-11 17:15:12.288436,8671,144.52
41,41,signout,1400,2,21,22:55:52,2021-05-11 22:55:52.027645,9011,150.18
42,42,signin ,1400,2,22,17:13:42,2021-05-12 17:13:42.235172,9011,150.18
43,43,signout,1400,2,22,22:59:17,2021-05-12 22:59:17.035818,9356,155.93
44,44,signin ,1400,2,23,10:37:52,2021-05-13 10:37:52.117161,9356,155.93
45,45,signout,1400,2,23,23:00:50,2021-05-13 23:00:50.022255,10098,168.30
46,46,signin ,1400,2,25,14:58:39,2021-05-15 14:58:39.539995,10098,168.30
47,47,signout,1400,2,25,23:04:03,2021-05-15 23:04:03.155970,10583,176.38
48,48,signin ,1400,2,26,17:15:19,2021-05-16 17:15:19.724259,10583,176.38
49,49,signout,1400,2,26,23:04:38,2021-05-16 23:04:38.793939,10932,182.20
50,50,signin ,1400,2,27,17:11:22,2021-05-17 17:11:22.651928,10932,182.20
51,51,signout,1400,2,27,23:02:53,2021-05-17 23:02:53.427184,11283,188.05
52,52,signin ,1400,2,28,17:12:52,2021-05-18 17:12:52.816783,11283,188.05
53,53,signout,1400,2,28,22:55:16,2021-05-18 22:55:16.568007,11625,193.75
54,54,signin ,1400,2,29,17:13:29,2021-05-19 17:13:29.292859,11625,193.75
55,55,signout,1400,2,29,22:57:13,2021-05-19 22:57:13.585076,11968,199.47
56,56,signin ,1400,2,30,13:57:44,2021-05-20 13:57:44.469449,11968,199.47
57,57,signout,1400,2,30,22:43:09,2021-05-20 22:43:09.912096,12493,208.22
58,58,signin ,1400,2,31,09:20:10,2021-05-21 09:20:10.360910,12493,208.22
59,59,signout,1400,2,31,22:48:18,2021-05-21 22:48:18.609963,13301,221.68
