number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,208,test,1400,5,1,09:07:46,2021-07-23 09:07:46.333964,0,0.00
2,209,signin ,1400,5,1,09:07:46,2021-07-23 09:07:46.593525,0,0.00
3,211,signin ,1400,5,1,23:00:46,2021-07-23 23:00:46.593525,811,13.52
4,212,signin ,1400,5,2,09:43:11,2021-07-24 09:43:11.077267,811,13.52
5,213,signout,1400,5,2,13:09:26,2021-07-24 13:09:26.319838,1017,16.95
6,214,signin ,1400,5,2,17:12:19,2021-07-24 17:12:19.299382,1017,16.95
7,215,signout,1400,5,2,23:02:36,2021-07-24 23:02:36.813903,1367,22.78
8,216,signin ,1400,5,3,09:38:41,2021-07-25 09:38:41.994056,1367,22.78
9,217,signout,1400,5,3,13:14:07,2021-07-25 13:14:07.850712,1582,26.37
10,218,signin ,1400,5,3,17:07:48,2021-07-25 17:07:48.107596,1582,26.37
11,219,signout,1400,5,3,22:58:19,2021-07-25 22:58:19.054497,1932,32.20
12,220,signin ,1400,5,4,09:47:59,2021-07-26 09:47:59.509873,1932,32.20
13,221,signout,1400,5,4,13:03:17,2021-07-26 13:03:17.994718,2127,35.45
14,222,signin ,1400,5,4,15:09:29,2021-07-26 15:09:29.502007,2127,35.45
15,223,signout,1400,5,4,23:05:08,2021-07-26 23:05:08.949751,2602,43.37
16,224,signin ,1400,5,5,09:32:06,2021-07-27 09:32:06.551124,2602,43.37
17,225,signout,1400,5,5,13:03:52,2021-07-27 13:03:52.861168,2813,46.88
18,226,signin ,1400,5,5,15:11:43,2021-07-27 15:11:43.202582,2813,46.88
19,227,signout,1400,5,5,23:00:32,2021-07-27 23:00:32.884970,3281,54.68
20,228,signin ,1400,5,6,09:51:23,2021-07-28 09:51:23.682735,3281,54.68
21,229,signout,1400,5,6,13:13:06,2021-07-28 13:13:06.580764,3482,58.03
22,230,signin ,1400,5,6,17:13:36,2021-07-28 17:13:36.291967,3482,58.03
23,231,signout,1400,5,6,22:52:18,2021-07-28 22:52:18.362388,3820,63.67
24,232,signin ,1400,5,7,09:30:03,2021-07-29 09:30:03.274453,3820,63.67
25,233,signout,1400,5,7,22:57:48,2021-07-29 22:57:48.931988,4627,77.12
26,234,signin ,1400,5,8,09:31:28,2021-07-30 09:31:28.969751,4627,77.12
27,235,signout,1400,5,8,22:45:38,2021-07-30 22:45:38.576065,5421,90.35
28,236,signin ,1400,5,9,09:41:37,2021-07-31 09:41:37.324398,5421,90.35
29,237,signout,1400,5,9,13:05:51,2021-07-31 13:05:51.979798,5625,93.75
30,238,signin ,1400,5,9,17:08:25,2021-07-31 17:08:25.776528,5625,93.75
31,239,signout,1400,5,9,22:54:56,2021-07-31 22:54:56.921332,5971,99.52
32,240,signin ,1400,5,10,09:38:37,2021-08-01 09:38:37.040341,5971,99.52
33,241,signout,1400,5,10,13:03:15,2021-08-01 13:03:15.837935,6175,102.92
