number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,678,test,1400,12,1,19:00:14,2022-02-20 19:00:14.524099,0,0:0
2,679,signin ,1400,12,1,19:00:14,2022-02-20 19:00:14.800202,0,0:0
3,680,signout,1400,12,1,22:33:56,2022-02-20 22:33:56.204270,213,3:33
4,681,signin ,1400,12,2,17:00:30,2022-02-21 17:00:30.376328,213,3:33
5,682,signout,1400,12,2,22:20:41,2022-02-21 22:20:41.370121,533,8:53
6,683,signin ,1400,12,3,17:06:35,2022-02-22 17:06:35.475092,533,8:53
7,684,signout,1400,12,3,22:32:19,2022-02-22 22:32:19.973037,858,14:18
8,685,signin ,1400,12,5,14:15:25,2022-02-24 14:15:25.191670,858,14:18
9,686,signout,1400,12,5,22:33:48,2022-02-24 22:33:48.674290,1356,22:36
10,687,signin ,1400,12,6,10:12:29,2022-02-25 10:12:29.191522,1356,22:36
11,688,signout,1400,12,6,22:52:29,2022-02-25 22:52:29.171430,2116,35:16
12,689,signin ,1400,12,7,18:58:58,2022-02-26 18:58:58.428902,2116,35:16
13,690,signout,1400,12,7,22:30:35,2022-02-26 22:30:35.852030,2327,38:47
14,691,signin ,1400,12,8,19:04:15,2022-02-27 19:04:15.143086,2327,38:47
15,692,signout,1400,12,8,22:30:53,2022-02-27 22:30:53.471882,2533,42:13
16,693,signin ,1400,12,9,16:59:50,2022-02-28 16:59:50.380930,2533,42:13
17,694,signout,1400,12,9,22:33:08,2022-02-28 22:33:08.512542,2866,47:46
18,695,signin ,1400,12,10,11:17:49,2022-03-01 11:17:49.916844,2866,47:46
19,696,signout,1400,12,10,22:36:28,2022-03-01 22:36:28.490656,3544,59:4
20,697,signin ,1400,12,11,17:15:42,2022-03-02 17:15:42.700943,3544,59:4
21,698,signout,1400,12,11,22:31:36,2022-03-02 22:31:36.575781,3859,64:19
22,699,signin ,1400,12,12,14:07:20,2022-03-03 14:07:20.230404,3859,64:19
23,700,signout,1400,12,12,22:31:21,2022-03-03 22:31:21.821528,4361,72:41
24,701,signin ,1400,12,13,10:03:46,2022-03-04 10:03:46.612251,4361,72:41
25,702,signout,1400,12,13,22:18:09,2022-03-04 22:18:09.449354,5095,84:55
26,703,signin ,1400,12,14,19:30:56,2022-03-05 19:30:56.767706,5095,84:55
27,704,signout,1400,12,14,22:30:56,2022-03-05 22:30:56.767706,5305,88:25
28,705,signin ,1400,12,15,19:07:58,2022-03-06 19:07:58.950596,5305,88:25
29,706,signout,1400,12,15,22:27:01,2022-03-06 22:27:01.865683,5504,91:44
30,707,signin ,1400,12,16,17:02:17,2022-03-07 17:02:17.632891,5504,91:44
31,708,signout,1400,12,16,22:30:58,2022-03-07 22:30:58.218305,5832,97:12
32,709,signin ,1400,12,17,17:07:18,2022-03-08 17:07:18.873298,5832,97:12
33,710,signout,1400,12,17,22:30:54,2022-03-08 22:30:54.441836,6155,102:35
34,711,signin ,1400,12,18,17:07:24,2022-03-09 17:07:24.017377,6155,102:35
35,712,signout,1400,12,18,22:38:35,2022-03-09 22:38:35.124295,6486,108:6
36,713,signin ,1400,12,19,14:00:28,2022-03-10 14:00:28.080935,6486,108:6
37,714,signout,1400,12,19,22:30:28,2022-03-10 22:30:28.080935,6996,116:36
38,715,signin ,1400,12,20,09:57:54,2022-03-11 09:57:54.785271,6996,116:36
39,716,signout,1400,12,20,22:31:11,2022-03-11 22:31:11.069395,7749,129:9
40,717,signin ,1400,12,22,18:58:30,2022-03-13 18:58:30.397405,7749,129:9
41,718,signout,1400,12,22,22:38:01,2022-03-13 22:38:01.966687,7968,132:48
42,719,signin ,1400,12,23,17:02:32,2022-03-14 17:02:32.695168,7968,132:48
43,720,signout,1400,12,23,22:32:08,2022-03-14 22:32:08.057797,8297,138:17
44,721,signin ,1400,12,24,17:01:21,2022-03-15 17:01:21.564800,8297,138:17
45,722,signout,1400,12,24,22:40:56,2022-03-15 22:40:56.206787,8636,143:56
46,723,signin ,1400,12,25,17:12:01,2022-03-16 17:12:01.548591,8636,143:56
47,724,signout,1400,12,25,22:30:42,2022-03-16 22:30:42.539409,8954,149:14
48,725,signin ,1400,12,26,13:25:16,2022-03-17 13:25:16.942402,8954,149:14
49,726,signout,1400,12,26,22:27:05,2022-03-17 22:27:05.496718,9495,158:15
50,727,signin ,1400,12,27,09:51:39,2022-03-18 09:51:39.575017,9495,158:15
51,728,signout,1400,12,27,22:31:02,2022-03-18 22:31:02.519121,10254,170:54
52,729,signin ,1400,12,28,17:03:08,2022-03-19 17:03:08.883177,10254,170:54
53,730,signout,1400,12,28,22:32:56,2022-03-19 22:32:56.438070,10583,176:23
