number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,113,test,1400,4,3,09:47:42,2021-04-22 14:03:42.042847,0,0.00
2,114,signin ,1400,4,3,09:48:47,2021-06-24 09:48:47.926980,0,0.00
3,115,signout,1400,4,3,22:58:02,2021-06-24 22:58:02.807280,789,13.15
4,116,signin ,1400,4,5,20:40:18,2021-06-26 20:40:18.671253,789,13.15
5,117,signout,1400,4,5,21:31:37,2021-06-26 21:31:37.502959,840,14.00
6,118,signin ,1400,4,7,09:46:06,2021-06-28 09:46:06.698657,840,14.00
7,119,signout,1400,4,7,13:02:29,2021-06-28 13:02:29.325744,1036,17.27
8,120,signin ,1400,4,7,17:10:17,2021-06-28 17:10:17.519002,1036,17.27
9,121,signout,1400,4,7,23:02:31,2021-06-28 23:02:31.429941,1388,23.13
10,122,signin ,1400,4,8,10:00:35,2021-06-29 10:00:35.506806,1388,23.13
11,123,signout,1400,4,8,13:52:43,2021-06-29 13:52:43.613072,1620,27.00
12,124,signin ,1400,4,8,13:55:35,2021-06-29 13:55:35.993861,1620,27.00
13,125,signout,1400,4,8,14:06:03,2021-06-29 14:06:03.390108,1630,27.17
14,126,signin ,1400,4,8,17:02:31,2021-06-29 17:02:31.152593,1630,27.17
15,127,signout,1400,4,8,23:00:14,2021-06-29 23:00:14.637770,1987,33.12
16,128,signin ,1400,4,9,09:28:25,2021-06-30 09:28:25.122483,1987,33.12
17,129,signout,1400,4,9,13:01:54,2021-06-30 13:01:54.539544,2200,36.67
18,130,signin ,1400,4,9,17:25:28,2021-06-30 17:25:28.496332,2200,36.67
19,131,signout,1400,4,9,23:03:54,2021-06-30 23:03:54.118673,2538,42.30
20,132,signin ,1400,4,10,09:25:26,2021-07-01 09:25:26.585633,2538,42.30
21,133,signout,1400,4,10,12:17:38,2021-07-01 12:17:38.597037,2710,45.17
22,134,signin ,1400,4,10,14:05:43,2021-07-01 14:05:43.518570,2710,45.17
23,135,signout,1400,4,10,23:01:36,2021-07-01 23:01:36.759973,3245,54.08
24,136,signin ,1400,4,11,09:15:47,2021-07-02 09:15:47.833597,3245,54.08
25,137,signout,1400,4,11,22:48:15,2021-07-02 22:48:15.479925,4057,67.62
