number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,519,test,1400,9,1,17:06:15,2021-11-22 17:06:15.608045,0,0:0
2,520,signin ,1400,9,1,17:06:15,2021-11-22 17:06:15.841937,0,0:0
3,521,signout,1400,9,1,22:31:54,2021-11-22 22:31:54.312586,325,5:25
4,522,signin ,1400,9,2,19:07:39,2021-11-23 19:07:39.856447,325,5:25
5,523,signout,1400,9,2,22:23:49,2021-11-23 22:23:49.918209,521,8:41
6,524,signin ,1400,9,3,17:08:56,2021-11-24 17:08:56.555328,521,8:41
7,525,signout,1400,9,3,22:29:37,2021-11-24 22:29:37.369224,841,14:1
8,526,signin ,1400,9,4,14:08:04,2021-11-25 14:08:04.481149,841,14:1
9,527,signout,1400,9,4,22:30:57,2021-11-25 22:30:57.495603,1343,22:23
10,528,signin ,1400,9,5,12:39:19,2021-11-26 12:39:19.609520,1343,22:23
11,529,signout,1400,9,5,22:25:53,2021-11-26 22:25:53.650329,1929,32:9
12,530,signin ,1400,9,6,17:15:30,2021-11-27 17:15:30.167569,1929,32:9
13,531,signout,1400,9,6,22:26:35,2021-11-27 22:26:35.784151,2240,37:20
14,532,signin ,1400,9,7,19:28:37,2021-11-28 19:28:37.461808,2240,37:20
15,533,signout,1400,9,7,22:31:20,2021-11-28 22:31:20.843516,2422,40:22
16,534,signin ,1400,9,8,17:16:12,2021-11-29 17:16:12.354627,2422,40:22
17,535,signout,1400,9,8,22:31:19,2021-11-29 22:31:19.635274,2737,45:37
18,536,signin ,1400,9,9,19:17:39,2021-11-30 19:17:39.268910,2737,45:37
19,537,signout,1400,9,9,22:30:39,2021-11-30 22:30:39.268910,2947,49:7
20,538,signin ,1400,9,10,17:05:13,2021-12-01 17:05:13.119959,2947,49:7
21,539,signout,1400,9,10,22:31:05,2021-12-01 22:31:05.329302,3272,54:32
22,540,signin ,1400,9,11,14:20:20,2021-12-02 14:20:20.037980,3272,54:32
23,541,signout,1400,9,11,22:29:48,2021-12-02 22:29:48.811425,3761,62:41
24,542,signin ,1400,9,12,10:54:18,2021-12-03 10:54:18.387381,3761,62:41
25,543,signout,1400,9,12,22:36:18,2021-12-03 22:36:18.387381,4421,73:41
26,544,signin ,1400,9,13,09:25:13,2021-12-04 09:25:13.445503,4421,73:41
27,545,signout,1400,9,13,09:25:15,2021-12-04 09:25:15.365581,4421,73:41
28,546,signin ,1400,9,14,19:31:18,2021-12-05 19:31:18.784009,4421,73:41
29,547,signout,1400,9,14,22:43:31,2021-12-05 22:43:31.506815,4613,76:53
30,548,signin ,1400,9,15,17:01:31,2021-12-06 17:01:31.501428,4613,76:53
31,549,signout,1400,9,15,22:32:17,2021-12-06 22:32:17.018927,4943,82:23
32,550,signin ,1400,9,17,16:59:58,2021-12-08 16:59:58.064641,4943,82:23
33,551,signout,1400,9,17,22:46:04,2021-12-08 22:46:04.708645,5289,88:9
34,552,signin ,1400,9,18,14:31:06,2021-12-09 14:31:06.676936,5289,88:9
35,553,signout,1400,9,18,22:15:42,2021-12-09 22:15:42.357131,5753,95:53
36,554,signin ,1400,9,19,11:06:35,2021-12-10 11:06:35.279351,5753,95:53
37,555,signout,1400,9,19,22:39:36,2021-12-10 22:39:36.783536,6446,107:26
38,556,signin ,1400,9,20,17:07:48,2021-12-11 17:07:48.462242,6446,107:26
39,557,signin ,1400,9,21,19:13:17,2021-12-12 19:13:17.808767,6446,107:26
40,558,signout,1400,9,21,22:36:39,2021-12-12 22:36:39.334231,6649,110:49
41,559,signin ,1400,9,22,17:53:47,2021-12-13 17:53:47.594164,6649,110:49
42,560,signout,1400,9,22,22:31:42,2021-12-13 22:31:42.906968,6926,115:26
43,561,signin ,1400,9,23,20:15:33,2021-12-14 20:15:33.902733,6926,115:26
44,562,signout,1400,9,23,22:32:06,2021-12-14 22:32:06.938764,7062,117:42
45,563,signin ,1400,9,24,17:05:29,2021-12-15 17:05:29.998838,7062,117:42
46,564,signout,1400,9,24,22:38:07,2021-12-15 22:38:07.131251,7394,123:14
47,565,signin ,1400,9,25,14:15:04,2021-12-16 14:15:04.682002,7394,123:14
48,566,signout,1400,9,25,22:35:42,2021-12-16 22:35:42.933733,7894,131:34
49,567,signin ,1400,9,26,11:12:54,2021-12-17 11:12:54.784194,7894,131:34
50,568,signout,1400,9,26,22:24:54,2021-12-17 22:24:54.784194,8566,142:46
51,569,signin ,1400,9,27,17:06:07,2021-12-18 17:06:07.918168,8566,142:46
52,570,signout,1400,9,27,22:44:12,2021-12-18 22:44:12.445133,8904,148:24
53,571,signin ,1400,9,28,18:46:22,2021-12-19 18:46:22.741928,8904,148:24
54,572,signout,1400,9,28,22:29:01,2021-12-19 22:29:01.302030,9126,152:6
55,573,signin ,1400,9,29,17:06:13,2021-12-20 17:06:13.754181,9126,152:6
56,574,signout,1400,9,29,22:30:40,2021-12-20 22:30:40.374878,9450,157:30
57,575,signin ,1400,9,30,20:37:53,2021-12-21 20:37:53.237300,9450,157:30
58,576,signout,1400,9,30,22:31:38,2021-12-21 22:31:38.955250,9563,159:23
