number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,316,test,1400,6,1,09:41:31,2021-08-23 09:41:31.553723,0,0:0
2,317,signin ,1400,6,1,09:41:31,2021-08-23 09:41:31.956452,0,0:0
3,318,signout,1400,6,1,13:39:29,2021-08-23 13:39:29.297115,237,3:57
4,319,signin ,1400,6,1,17:07:59,2021-08-23 17:07:59.857724,237,3:57
5,320,signout,1400,6,1,23:01:05,2021-08-23 23:01:05.397765,590,9:50
6,321,signin ,1400,6,2,09:43:26,2021-08-24 09:43:26.836706,590,9:50
7,322,signout,1400,6,2,13:58:16,2021-08-24 13:58:16.531217,844,14:4
8,323,signin ,1400,6,2,17:09:41,2021-08-24 17:09:41.761398,844,14:4
9,324,signout,1400,6,2,22:54:26,2021-08-24 22:54:26.417508,1188,19:48
10,325,signin ,1400,6,3,09:12:19,2021-08-25 09:12:19.432699,1188,19:48
11,326,signout,1400,6,3,14:26:10,2021-08-25 14:26:10.922807,1501,25:1
12,327,signin ,1400,6,3,17:10:39,2021-08-25 17:10:39.290974,1501,25:1
13,328,signout,1400,6,3,22:38:08,2021-08-25 22:38:08.184302,1828,30:28
14,329,signin ,1400,6,4,09:10:14,2021-08-26 09:10:14.926997,1828,30:28
15,330,signout,1400,6,4,22:53:45,2021-08-26 22:53:45.621135,2651,44:11
16,331,signin ,1400,6,5,09:51:01,2021-08-27 09:51:01.765452,2651,44:11
17,332,signout,1400,6,5,23:00:55,2021-08-27 23:00:55.058854,3440,57:20
18,333,signin ,1400,6,6,17:01:27,2021-08-28 17:01:27.199328,3440,57:20
19,334,signout,1400,6,6,22:52:15,2021-08-28 22:52:15.374971,3790,63:10
20,335,signin ,1400,6,7,17:46:28,2021-08-29 17:46:28.656025,3790,63:10
21,336,signout,1400,6,7,22:58:04,2021-08-29 22:58:04.137416,4101,68:21
22,337,signin ,1400,6,8,17:07:30,2021-08-30 17:07:30.703209,4101,68:21
23,338,signout,1400,6,8,22:57:22,2021-08-30 22:57:22.342264,4450,74:10
24,339,signin ,1400,6,9,17:10:03,2021-08-31 17:10:03.025335,4450,74:10
25,340,signout,1400,6,9,22:54:18,2021-08-31 22:54:18.240054,4794,79:54
26,341,signin ,1400,6,10,16:58:51,2021-09-01 16:58:51.507133,4794,79:54
27,342,signout,1400,6,10,22:54:15,2021-09-01 22:54:15.985139,5149,85:49
28,343,signin ,1400,6,11,09:30:06,2021-09-02 09:30:06.527751,5149,85:49
29,344,signout,1400,6,11,23:04:53,2021-09-02 23:04:53.313843,5963,99:23
30,345,signin ,1400,6,12,09:33:39,2021-09-03 09:33:39.401374,5963,99:23
31,346,signout,1400,6,12,22:48:39,2021-09-03 22:48:39.899242,6758,112:38
32,347,signin ,1400,6,13,09:19:55,2021-09-04 09:19:55.034297,6758,112:38
33,348,signout,1400,6,13,14:17:32,2021-09-04 14:17:32.339821,7055,117:35
34,349,signin ,1400,6,13,17:05:40,2021-09-04 17:05:40.922321,7055,117:35
35,350,signout,1400,6,13,22:53:20,2021-09-04 22:53:20.326111,7402,123:22
36,351,signin ,1400,6,14,09:23:49,2021-09-05 09:23:49.693453,7402,123:22
37,352,signout,1400,6,14,14:27:33,2021-09-05 14:27:33.588275,7705,128:25
38,353,signin ,1400,6,14,17:12:31,2021-09-05 17:12:31.144899,7705,128:25
39,354,signout,1400,6,14,22:59:56,2021-09-05 22:59:56.340570,8052,134:12
40,355,signin ,1400,6,15,09:20:21,2021-09-06 09:20:21.960286,8052,134:12
41,356,signout,1400,6,15,14:15:25,2021-09-06 14:15:25.719003,8347,139:7
42,357,signin ,1400,6,15,17:02:11,2021-09-06 17:02:11.832304,8347,139:7
43,358,signout,1400,6,15,22:59:07,2021-09-06 22:59:07.280300,8703,145:3
44,359,signin ,1400,6,16,09:25:36,2021-09-07 09:25:36.624626,8703,145:3
45,360,signout,1400,6,16,14:25:43,2021-09-07 14:25:43.402211,9003,150:3
46,361,signin ,1400,6,16,16:07:00,2021-09-07 16:07:00.513434,9003,150:3
47,362,signout,1400,6,16,22:54:19,2021-09-07 22:54:19.695881,9410,156:50
48,363,signin ,1400,6,18,09:17:29,2021-09-09 09:17:29.770994,9410,156:50
49,364,signout,1400,6,18,23:03:01,2021-09-09 23:03:01.797468,10235,170:35
50,365,signin ,1400,6,19,08:55:19,2021-09-10 08:55:19.886158,10235,170:35
51,366,signout,1400,6,19,22:32:22,2021-09-10 22:32:22.181007,11052,184:12
52,367,signin ,1400,6,20,09:23:50,2021-09-11 09:23:50.573983,11052,184:12
53,368,signout,1400,6,20,22:53:36,2021-09-11 22:53:36.642104,11861,197:41
54,369,signin ,1400,6,21,09:23:56,2021-09-12 09:23:56.049325,11861,197:41
55,370,signout,1400,6,21,14:41:09,2021-09-12 14:41:09.030686,12178,202:58
56,371,signout,1400,6,21,15:05:02,2021-09-12 15:05:02.043964,12201,203:21
57,372,signin ,1400,6,21,15:05:22,2021-09-12 15:05:22.146361,12201,203:21
58,373,signout,1400,6,21,23:01:20,2021-09-12 23:01:20.693285,12676,211:16
59,374,signin ,1400,6,22,09:24:29,2021-09-13 09:24:29.989924,12676,211:16
60,375,signout,1400,6,22,15:42:30,2021-09-13 15:42:30.330105,13054,217:34
