number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,632,test,1400,11,2,17:14:27,2022-01-22 17:14:27.288081,0,0:0
2,633,signin ,1400,11,2,17:14:27,2022-01-22 17:14:27.694716,0,0:0
3,634,signout,1400,11,2,18:37:28,2022-01-22 18:37:28.891531,83,1:23
4,635,signin ,1400,11,7,14:48:05,2022-01-27 14:48:05.119893,83,1:23
5,636,signout,1400,11,7,23:23:18,2022-01-27 23:23:18.615571,598,9:58
6,637,signin ,1400,11,8,11:33:37,2022-01-28 11:33:37.431807,598,9:58
7,638,signout,1400,11,8,23:33:24,2022-01-28 23:33:24.310614,1317,21:57
8,639,signin ,1400,11,10,17:04:42,2022-01-30 17:04:42.089329,1317,21:57
9,640,signout,1400,11,10,22:31:14,2022-01-30 22:31:14.027739,1643,27:23
10,641,signin ,1400,11,12,17:00:28,2022-02-01 17:00:28.867102,1643,27:23
11,642,signin ,1400,11,13,17:03:54,2022-02-02 17:03:54.348013,1643,27:23
12,643,signout,1400,11,13,22:35:10,2022-02-02 22:35:10.676126,1974,32:54
13,644,signin ,1400,11,14,14:02:42,2022-02-03 14:02:42.989109,1974,32:54
14,645,signout,1400,11,14,22:53:03,2022-02-03 22:53:03.378888,2504,41:44
15,646,signin ,1400,11,15,10:43:06,2022-02-04 10:43:06.181877,2504,41:44
16,647,signout,1400,11,15,22:40:00,2022-02-04 22:40:00.174297,3220,53:40
17,648,signin ,1400,11,16,17:03:41,2022-02-05 17:03:41.929875,3220,53:40
18,649,signout,1400,11,16,22:33:41,2022-02-05 22:33:41.929875,3550,59:10
19,650,signin ,1400,11,17,17:15:08,2022-02-06 17:15:08.780612,3550,59:10
20,651,signout,1400,11,17,22:27:50,2022-02-06 22:27:50.911793,3862,64:22
21,652,signin ,1400,11,18,17:01:56,2022-02-07 17:01:56.246825,3862,64:22
22,653,signout,1400,11,18,22:32:12,2022-02-07 22:32:12.807751,4192,69:52
23,654,signin ,1400,11,19,17:02:20,2022-02-08 17:02:20.862757,4192,69:52
24,655,signout,1400,11,19,22:31:38,2022-02-08 22:31:38.304672,4521,75:21
25,656,signin ,1400,11,20,17:00:46,2022-02-09 17:00:46.013642,4521,75:21
26,657,signout,1400,11,20,22:41:07,2022-02-09 22:41:07.116936,4861,81:1
27,658,signin ,1400,11,21,14:11:07,2022-02-10 14:11:07.037177,4861,81:1
28,659,signout,1400,11,21,22:31:36,2022-02-10 22:31:36.990149,5361,89:21
29,660,signin ,1400,11,22,10:05:56,2022-02-11 10:05:56.615509,5361,89:21
30,661,signout,1400,11,22,22:44:44,2022-02-11 22:44:44.121880,6119,101:59
31,662,signin ,1400,11,23,18:51:54,2022-02-12 18:51:54.042768,6119,101:59
32,663,signout,1400,11,23,22:32:36,2022-02-12 22:32:36.117307,6339,105:39
33,664,signin ,1400,11,24,19:01:13,2022-02-13 19:01:13.827622,6339,105:39
34,665,signout,1400,11,24,22:31:20,2022-02-13 22:31:20.841245,6549,109:9
35,666,signin ,1400,11,25,17:00:43,2022-02-14 17:00:43.985018,6549,109:9
36,667,signout,1400,11,25,22:30:43,2022-02-14 22:30:43.985018,6879,114:39
37,668,signin ,1400,11,26,10:20:56,2022-02-15 10:20:56.830567,6879,114:39
38,669,signout,1400,11,26,22:30:30,2022-02-15 22:30:30.608901,7608,126:48
39,670,signin ,1400,11,27,17:00:58,2022-02-16 17:00:58.629657,7608,126:48
40,671,signout,1400,11,27,22:30:20,2022-02-16 22:30:20.670248,7937,132:17
41,672,signin ,1400,11,28,14:01:04,2022-02-17 14:01:04.258035,7937,132:17
42,673,signout,1400,11,28,22:26:12,2022-02-17 22:26:12.920272,8442,140:42
43,674,signin ,1400,11,29,10:31:16,2022-02-18 10:31:16.612591,8442,140:42
44,675,signout,1400,11,29,22:30:31,2022-02-18 22:30:31.601831,9161,152:41
45,676,signin ,1400,11,30,18:59:11,2022-02-19 18:59:11.921625,9161,152:41
46,677,signout,1400,11,30,22:30:46,2022-02-19 22:30:46.724595,9372,156:12
