number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,394,test,1400,7,1,13:00:37,2021-09-23 13:00:37.124976,0,0:0
2,395,signin ,1400,7,1,13:00:37,2021-09-23 13:00:37.321528,0,0:0
3,396,signout,1400,7,1,22:35:51,2021-09-23 22:35:51.094911,575,9:35
4,397,signin ,1400,7,2,09:30:24,2021-09-24 09:30:24.327369,575,9:35
5,398,signout,1400,7,2,22:30:38,2021-09-24 22:30:38.498797,1355,22:35
6,399,signin ,1400,7,3,17:07:59,2021-09-25 17:07:59.210516,1355,22:35
7,400,signout,1400,7,3,22:36:11,2021-09-25 22:36:11.303019,1683,28:3
8,401,signin ,1400,7,4,17:08:20,2021-09-26 17:08:20.988646,1683,28:3
9,402,signout,1400,7,4,22:31:22,2021-09-26 22:31:22.715017,2006,33:26
10,403,signin ,1400,7,5,09:29:14,2021-09-27 09:29:14.583076,2006,33:26
11,404,signout,1400,7,5,22:30:29,2021-09-27 22:30:29.755860,2787,46:27
12,405,signin ,1400,7,6,16:58:02,2021-09-28 16:58:02.936700,2787,46:27
13,406,signout,1400,7,6,22:34:44,2021-09-28 22:34:44.925571,3123,52:3
14,407,signin ,1400,7,7,17:00:57,2021-09-29 17:00:57.688117,3123,52:3
15,408,signout,1400,7,7,22:33:34,2021-09-29 22:33:34.231136,3455,57:35
16,409,signin ,1400,7,10,19:02:10,2021-10-02 19:02:10.813897,3455,57:35
17,410,signout,1400,7,10,22:33:53,2021-10-02 22:33:53.406367,3666,61:6
18,411,signin ,1400,7,11,17:00:57,2021-10-3 17:00:57.688117,3666,61:6
19,412,signout,1400,7,11,22:30:57,2021-10-3 22:30:57.688117,3996,66:36
20,413,signin ,1400,7,12,17:05:11,2021-10-04 17:05:11.816189,3996,66:36
21,414,signout,1400,7,12,22:30:49,2021-10-04 22:30:49.915481,4321,72:1
22,415,signin ,1400,7,13,09:43:25,2021-10-05 09:43:25.666138,4321,72:1
23,416,signout,1400,7,13,22:37:56,2021-10-05 22:37:56.167644,5095,84:55
24,417,signin ,1400,7,14,17:04:09,2021-10-06 17:04:09.212371,5095,84:55
25,418,signout,1400,7,14,22:32:41,2021-10-06 22:32:41.260092,5423,90:23
26,419,signin ,1400,7,15,10:01:10,2021-10-07 10:01:10.572665,5423,90:23
27,420,signout,1400,7,15,22:31:38,2021-10-07 22:31:38.094798,6173,102:53
28,421,signin ,1400,7,16,10:03:47,2021-10-08 10:03:47.937312,6173,102:53
29,422,signout,1400,7,16,22:32:38,2021-10-08 22:32:38.737566,6921,115:21
30,423,signin ,1400,7,17,17:03:36,2021-10-09 17:03:36.817162,6921,115:21
31,424,signout,1400,7,17,22:30:11,2021-10-09 22:30:11.683141,7247,120:47
32,425,signin ,1400,7,18,19:42:23,2021-10-10 19:42:23.299036,7247,120:47
33,426,signout,1400,7,18,22:32:45,2021-10-10 22:32:45.292610,7417,123:37
34,427,signin ,1400,7,19,17:17:53,2021-10-11 17:17:53.190430,7417,123:37
35,428,signout,1400,7,19,22:34:23,2021-10-11 22:34:23.651283,7733,128:53
36,429,signin ,1400,7,20,09:13:06,2021-10-12 09:13:06.887035,7733,128:53
37,430,signout,1400,7,20,13:36:00,2021-10-12 13:36:00.168870,7995,133:15
38,431,signin ,1400,7,20,19:07:34,2021-10-12 19:07:34.099478,7995,133:15
39,432,signout,1400,7,20,22:34:37,2021-10-12 22:34:37.058609,8202,136:42
40,433,signin ,1400,7,21,17:22:46,2021-10-13 17:22:46.719301,8202,136:42
41,434,signout,1400,7,21,22:36:04,2021-10-13 22:36:04.361568,8515,141:55
42,435,signin ,1400,7,22,09:49:40,2021-10-14 09:49:40.199681,8515,141:55
43,436,signout,1400,7,22,22:30:49,2021-10-14 22:30:49.786732,9276,154:36
44,437,signin ,1400,7,23,13:05:53,2021-10-15 13:05:53.709223,9276,154:36
45,438,signout,1400,7,23,22:34:14,2021-10-15 22:34:14.934384,9844,164:4
46,439,signin ,1400,7,24,20:43:22,2021-10-16 20:43:22.171999,9844,164:4
47,440,signout,1400,7,24,22:32:17,2021-10-16 22:32:17.580139,9952,165:52
48,441,signin ,1400,7,25,09:44:07,2021-10-17 09:44:07.070593,9952,165:52
49,442,signout,1400,7,25,15:45:02,2021-10-17 15:45:02.509036,10312,171:52
50,443,signin ,1400,7,26,19:08:09,2021-10-18 19:08:09.658916,10312,171:52
51,444,signout,1400,7,26,22:27:08,2021-10-18 22:27:08.487858,10510,175:10
52,445,signin ,1400,7,27,09:25:53,2021-10-19 09:25:53.398783,10510,175:10
53,446,signout,1400,7,27,13:36:00,2021-10-19 13:36:00.964751,10760,179:20
54,447,signin ,1400,7,27,19:15:42,2021-10-19 19:15:42.960511,10760,179:20
55,448,signout,1400,7,27,22:39:53,2021-10-19 22:39:53.872620,10964,182:44
56,449,signin ,1400,7,28,17:12:47,2021-10-20 17:12:47.321155,10964,182:44
57,450,signout,1400,7,28,22:33:13,2021-10-20 22:33:13.603347,11284,188:4
58,451,signin ,1400,7,29,09:02:00,2021-10-21 09:02:00.975226,11284,188:4
59,452,signout,1400,7,29,11:56:41,2021-10-21 11:56:41.440974,11458,190:58
60,453,signin ,1400,7,29,13:43:18,2021-10-21 13:43:18.641076,11458,190:58
61,454,signout,1400,7,29,22:33:16,2021-10-21 22:33:16.045314,11987,199:47
62,455,signin ,1400,7,30,13:19:02,2021-10-22 13:19:02.786409,11987,199:47
63,456,signout,1400,7,30,22:30:53,2021-10-22 22:30:53.431515,12538,208:58
