number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,731,test,1401,1,6,17:01:15,2022-03-26 17:01:15.191307,0,0:0
2,732,signin ,1401,1,6,17:01:15,2022-03-26 17:01:15.487420,0,0:0
3,733,signout,1401,1,6,22:39:03,2022-03-26 22:39:03.129095,337,5:37
4,734,signin ,1401,1,7,16:57:25,2022-03-27 16:57:25.114905,337,5:37
5,735,signout,1401,1,7,22:53:17,2022-03-27 22:53:17.470300,692,11:32
6,736,signin ,1401,1,8,17:00:29,2022-03-28 17:00:29.363866,692,11:32
7,737,signout,1401,1,8,22:48:08,2022-03-28 22:48:08.015443,1039,17:19
8,738,signin ,1401,1,9,17:01:30,2022-03-29 17:01:30.820532,1039,17:19
9,739,signout,1401,1,9,22:35:49,2022-03-29 22:35:49.660526,1373,22:53
10,740,signin ,1401,1,10,16:58:47,2022-03-30 16:58:47.432180,1373,22:53
11,741,signout,1401,1,10,22:50:56,2022-03-30 22:50:56.517002,1725,28:45
12,742,signin ,1401,1,11,13:46:02,2022-03-31 13:46:02.510776,1725,28:45
13,743,signout,1401,1,11,22:53:15,2022-03-31 22:53:15.437652,2272,37:52
14,744,signin ,1401,1,12,12:02:44,2022-04-01 12:02:44.288209,2272,37:52
15,745,signout,1401,1,12,22:53:08,2022-04-01 22:53:08.616882,2922,48:42
16,746,signin ,1401,1,13,09:59:46,2022-04-02 09:59:46.293496,2922,48:42
17,747,signout,1401,1,13,21:44:06,2022-04-02 21:44:06.341288,3626,60:26
18,748,signin ,1401,1,14,19:06:10,2022-04-03 19:06:10.655125,3626,60:26
19,749,signout,1401,1,14,22:30:10,2022-04-03 22:30:10.655125,3830,63:50
20,750,signin ,1401,1,15,16:57:54,2022-04-04 16:57:54.632011,3830,63:50
21,751,signout,1401,1,15,22:35:40,2022-04-04 22:35:40.362643,4167,69:27
22,752,signin ,1401,1,17,16:54:33,2022-04-06 16:54:33.366239,4167,69:27
23,753,signout,1401,1,17,22:36:30,2022-04-06 22:36:30.814425,4508,75:8
24,754,signin ,1401,1,18,14:01:41,2022-04-07 14:01:41.310839,4508,75:8
25,755,signout,1401,1,18,22:37:01,2022-04-07 22:37:01.216175,5023,83:43
26,756,signin ,1401,1,19,09:59:32,2022-04-08 09:59:32.431636,5023,83:43
27,757,signout,1401,1,19,22:28:32,2022-04-08 22:28:32.431636,5772,96:12
28,758,signin ,1401,1,21,20:40:10,2022-04-10 20:40:10.084355,5772,96:12
29,759,signout,1401,1,21,22:33:35,2022-04-10 22:33:35.165569,5885,98:5
30,760,signin ,1401,1,22,17:04:14,2022-04-11 17:04:14.896923,5885,98:5
31,761,signout,1401,1,22,22:47:54,2022-04-11 22:47:54.814586,6228,103:48
32,762,signin ,1401,1,23,17:00:40,2022-04-12 17:00:40.404914,6228,103:48
33,763,signout,1401,1,23,22:40:58,2022-04-12 22:40:58.342770,6568,109:28
34,764,signin ,1401,1,24,17:02:09,2022-04-13 17:02:09.865823,6568,109:28
35,765,signout,1401,1,24,22:37:34,2022-04-13 22:37:34.046248,6903,115:3
36,766,signin ,1401,1,25,14:07:34,2022-04-14 14:07:34.048299,6903,115:3
37,768,signout,1401,1,25,22:43:34,2022-04-14 22:43:34.048299,7419,123:39
38,769,signin ,1401,1,26,13:23:27,2022-04-15 13:23:27.819069,7419,123:39
39,770,signin ,1401,1,27,20:39:28,2022-04-16 20:39:28.736794,7419,123:39
40,771,signout,1401,1,27,22:44:05,2022-04-16 22:44:05.003305,7543,125:43
41,772,signin ,1401,1,29,17:06:08,2022-04-18 17:06:08.263880,7543,125:43
42,773,signout,1401,1,29,22:29:32,2022-04-18 22:29:32.478822,7866,131:6
43,774,signin ,1401,1,30,17:07:33,2022-04-19 17:07:33.731826,7866,131:6
44,775,signout,1401,1,30,22:51:24,2022-04-19 22:51:24.742051,8209,136:49
45,776,signin ,1401,1,31,17:01:14,2022-04-20 17:01:14.932648,8209,136:49
46,777,signout,1401,1,31,22:48:53,2022-04-20 22:48:53.417491,8556,142:36
