number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,778,test,1401,2,1,17:01:15,2022-03-26 17:01:15.191307,0,0:0
2,779,signin ,1401,2,1,14:07:24,2022-04-21 14:07:24.973954,0,0:0
3,780,signout,1401,2,1,23:15:30,2022-04-21 23:15:30.881002,548,9:8
4,781,signin ,1401,2,2,11:08:37,2022-04-22 11:08:37.748040,548,9:8
5,782,signout,1401,2,2,22:48:37,2022-04-22 22:48:37.748040,1284,21:24
6,783,signin ,1401,2,3,10:56:03,2022-04-23 10:56:03.115933,1284,21:24
7,784,signout,1401,2,3,23:08:49,2022-04-23 23:08:49.801144,2016,33:36
8,785,signin ,1401,2,4,21:09:51,2022-04-24 21:09:51.941938,2016,33:36
9,786,signout,1401,2,4,22:44:59,2022-04-24 22:44:59.926581,2111,35:11
10,787,signin ,1401,2,5,17:06:26,2022-04-25 17:06:26.759026,2111,35:11
11,788,signout,1401,2,5,22:40:26,2022-04-25 22:40:26.759026,2445,40:45
12,789,signin ,1401,2,6,17:07:24,2022-04-26 17:07:24.309036,2445,40:45
13,790,signout,1401,2,6,22:35:15,2022-04-26 22:35:15.120162,2772,46:12
14,791,signin ,1401,2,7,17:03:11,2022-04-27 17:03:11.150278,2772,46:12
15,792,signout,1401,2,7,22:41:18,2022-04-27 22:41:18.609842,3110,51:50
16,793,signin ,1401,2,8,14:03:02,2022-04-28 14:03:02.860627,3110,51:50
17,794,signout,1401,2,8,22:43:02,2022-04-28 22:43:02.860627,3630,60:30
18,795,signin ,1401,2,9,10:49:15,2022-04-29 10:49:15.116746,3630,60:30
19,796,signout,1401,2,9,22:24:59,2022-04-29 22:24:59.574775,4325,72:5
20,797,signin ,1401,2,10,20:47:38,2022-04-30 20:47:38.597015,4325,72:5
21,798,signout,1401,2,10,22:46:38,2022-04-30 22:46:38.058901,4444,74:4
22,799,signin ,1401,2,12,17:05:50,2022-05-02 17:05:50.331999,4444,74:4
23,800,signin ,1401,2,13,09:45:52,2022-05-03 09:45:52.620907,4444,74:4
24,801,signout,1401,2,13,22:41:23,2022-05-03 22:41:23.221912,5219,86:59
25,802,signin ,1401,2,14,10:13:50,2022-05-04 10:13:50.922897,5219,86:59
26,803,signout,1401,2,14,22:50:16,2022-05-04 22:50:16.536896,5975,99:35
27,804,signin ,1401,2,15,14:55:47,2022-05-05 14:55:47.135638,5975,99:35
28,805,signout,1401,2,15,22:44:52,2022-05-05 22:44:52.685481,6444,107:24
29,806,signin ,1401,2,16,10:24:53,2022-05-06 10:24:53.025791,6444,107:24
30,807,signout,1401,2,16,23:12:52,2022-05-06 23:12:52.163385,7211,120:11
31,808,signin ,1401,2,17,19:08:45,2022-05-07 19:08:45.910886,7211,120:11
32,809,signout,1401,2,17,22:46:56,2022-05-07 22:46:56.943789,7429,123:49
33,810,signin ,1401,2,18,20:21:26,2022-05-08 20:21:26.381001,7429,123:49
34,811,signout,1401,2,18,22:41:47,2022-05-08 22:41:47.305965,7569,126:9
35,812,signin ,1401,2,19,16:59:51,2022-05-09 16:59:51.595531,7569,126:9
36,813,signout,1401,2,19,22:49:49,2022-05-09 22:49:49.525523,7918,131:58
37,814,signin ,1401,2,20,17:07:02,2022-05-10 17:07:02.044347,7918,131:58
38,815,signout,1401,2,20,22:37:02,2022-05-10 22:37:02.044347,8248,137:28
39,816,signin ,1401,2,21,17:04:34,2022-05-11 17:04:34.896294,8248,137:28
40,817,signout,1401,2,21,22:36:40,2022-05-11 22:36:40.173471,8580,143:0
41,818,signin ,1401,2,22,15:16:52,2022-05-12 15:16:52.582431,8580,143:0
42,819,signout,1401,2,22,22:23:23,2022-05-12 22:23:23.664658,9006,150:6
43,820,signin ,1401,2,23,10:08:54,2022-05-13 10:08:54.378573,9006,150:6
44,821,signout,1401,2,23,22:37:51,2022-05-13 22:37:51.982396,9754,162:34
45,822,signin ,1401,2,25,19:59:38,2022-05-15 19:59:38.967110,9754,162:34
46,823,signout,1401,2,25,22:42:24,2022-05-15 22:42:24.052182,9916,165:16
47,824,signin ,1401,2,26,17:07:45,2022-05-16 17:07:45.884605,9916,165:16
48,825,signout,1401,2,26,22:54:20,2022-05-16 22:54:20.689872,10262,171:2
49,826,signin ,1401,2,27,20:06:03,2022-05-17 20:06:03.630417,10262,171:2
50,827,signout,1401,2,27,22:35:54,2022-05-17 22:35:54.910227,10411,173:31
51,828,signin ,1401,2,28,17:11:45,2022-05-18 17:11:45.767934,10411,173:31
52,829,signout,1401,2,28,22:53:15,2022-05-18 22:53:15.940233,10752,179:12
53,830,signin ,1401,2,29,14:14:24,2022-05-19 14:14:24.258893,10752,179:12
54,831,signout,1401,2,29,22:28:52,2022-05-19 22:28:52.897853,11246,187:26
