number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,15,test,1403,11,6,09:38:58,2025-01-25 09:38:58.681891,0,0:0
2,16,signin ,1403,11,6,09:39:00,2025-01-25 09:39:00.796208,0,0:0
3,17,signout,1403,11,6,18:29:29,2025-01-25 18:29:29.357822,590,9:50
4,18,signin ,1403,11,7,09:30:46,2025-01-26 09:30:46.781848,590,9:50
5,19,signout,1403,11,8,17:21:10,2025-01-27 17:21:10.142472,1061,17:41
6,20,signin ,1403,11,8,09:25:55,2025-01-27 09:25:55.487540,1061,17:41
7,21,signout,1403,11,8,20:03:18,2025-01-27 20:03:18.615417,1698,28:18
8,22,signin ,1403,11,14,08:35:06,2025-02-02 08:35:06.384301,1698,28:18
9,23,signout,1403,11,14,18:45:47,2025-02-02 18:45:47.237526,2308,38:28
10,24,signin ,1403,11,15,08:46:08,2025-02-03 08:46:08.669927,2308,38:28
11,25,signout,1403,11,15,19:05:08,2025-02-03 19:05:08.669927,2928,48:48
12,26,signin ,1403,11,17,13:32:55,2025-02-05 13:32:55.501813,2928,48:48
13,27,signout,1403,11,17,19:21:00,2025-02-05 19:21:00,3276,54:36
14,28,signin ,1403,11,18,11:25:34,2025-02-06 11:25:34.410873,3276,54:36
15,29,signout,1403,11,18,15:55:59,2025-02-06 15:55:59.275288,3546,59:6
16,30,signin ,1403,11,20,10:01:30,2025-02-08 10:01:30.681713,3546,59:6
17,31,signout,1403,11,20,18:25:31,2025-02-08 18:25:31.217180,4050,67:30
18,32,signin ,1403,11,21,08:58:03,2025-02-09 08:58:03.652528,4050,67:30
19,33,signout,1403,11,21,19:50:00,2025-02-09 19:50:00,4701,78:21
20,34,signin ,1403,11,23,13:32:04,2025-02-11 13:32:04.619182,4701,78:21
21,35,signout,1403,11,23,18:46:00,2025-02-11 18:46:00,5014,83:34
22,36,signin ,1403,11,25,12:37:16,2025-02-13 12:37:16.517008,5014,83:34
23,37,signout,1403,11,25,18:00:00,2025-02-13 18:00:00,5336,88:56
24,38,signin ,1403,11,27,09:26:30,2025-02-15 09:26:30.249951,5336,88:56
25,39,signout,1403,11,27,18:53:57,2025-02-15 18:53:57.941013,5903,98:23
26,40,signin ,1403,11,29,09:03:38,2025-02-17 09:03:38.290383,5903,98:23
27,41,signout,1403,11,29,19:20:00,2025-02-17 19:20:00,6519,108:39
28,42,signin ,1403,11,30,09:47:35,2025-02-18 09:47:35.752013,6519,108:39
29,43,signout,1403,11,30,18:51:35,2025-02-18 18:51:35.482539,7063,117:43
