number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,1,test,1403,8,17,14:47:19,2024-11-07 14:47:19.055815,0,0:0
2,2,signin ,1403,8,17,14:47:24,2024-11-07 14:47:24.753530,0,0:0
3,3,signout,1403,8,17,16:46:13,2024-11-07 16:46:13.718532,118,1:58
4,4,signin ,1403,8,17,18:15:06,2024-11-07 18:15:06.361922,118,1:58
5,5,signout,1403,8,17,19:54:40,2024-11-07 19:54:40.776381,217,3:37
6,6,signin ,1403,8,19,10:57:28,2024-11-09 10:57:28.623062,217,3:37
7,7,signout,1403,8,19,17:00:57,2024-11-09 17:00:57.701517,580,9:40
8,8,signin ,1403,8,21,11:04:57,2024-11-11 11:04:57.553381,580,9:40
9,9,signout,1403,8,21,14:54:57,2024-11-11 14:54:57.553381,810,13:30
10,10,signin ,1403,8,25,11:23:29,2024-11-15 11:23:29.836672,810,13:30
11,11,signout,1403,8,25,12:42:07,2024-11-15 12:42:07.318886,888,14:48
12,12,signin ,1403,8,25,14:30:11,2024-11-15 14:30:11.695865,888,14:48
13,13,signout,1403,8,25,15:26:23,2024-11-15 15:26:23.241294,944,15:44
